"country","iso2c","iso3c","year","poblacion_total","crecimiento_poblacion","tasa_natalidad","tasa_mortalidad","migracion_neta","tasa_fecundidad","esperanza_vida","mortalidad_niniez","poblacion_0_14","poblacion_15_64","poblacion_65_mas","dependencia_total","dependencia_joven","dependencia_mayores"
"Afghanistan","AF","AFG",1960,9035043,NA,50.516,31.672,2606,7.282,32.799,350.6,41.9467543238724,55.2298835085852,2.82336216754241,81.0613894386502,75.9493703863132,5.11201905233701
"Afghanistan","AF","AFG",1961,9214083,1.9622391202036,50.566,31.129,6109,7.284,33.291,345.2,42.0285881948318,55.1620546504736,2.80935715469461,81.2840359519206,76.1911292021901,5.09290674973051
"Afghanistan","AF","AFG",1962,9404406,2.0445228359303,50.666,30.63,7016,7.292,33.757,340.2,42.1128139299813,55.0943515199152,2.79283455010343,81.5068083352119,76.4376325923089,5.06917574290293
"Afghanistan","AF","AFG",1963,9604487,2.1052082248002,50.787,30.168,6681,7.302,34.201,335,42.2359518004449,54.9889910830219,2.77505711653314,81.8545805002831,76.8080114969298,5.04656900335327
"Afghanistan","AF","AFG",1964,9814318,2.16119547210755,50.852,29.672,7079,7.304,34.673,329.7,42.4095387983149,54.8326689638547,2.75779223783048,82.3730133850468,77.3435538691874,5.02945951585938
"Afghanistan","AF","AFG",1965,10036008,2.23370858013984,50.889,29.193,10695,7.305,35.124,324.5,42.6422367019717,54.616090649983,2.74167264804529,83.0962139283287,78.0763234831312,5.01989044519751
"Afghanistan","AF","AFG",1966,10266395,2.26965142881696,51.018,28.733,3563,7.32,35.583,319.5,42.9102864247869,54.3629579808686,2.72675559434446,83.9487837199585,78.9329589279277,5.01582479203084
"Afghanistan","AF","AFG",1967,10505959,2.30666800699098,51.106,28.265,6824,7.339,36.042,314.8,43.1724224318789,54.1143364446787,2.71324112344242,84.793913350911,79.7800089002556,5.01390445065547
"Afghanistan","AF","AFG",1968,10756922,2.36068343389987,51.209,27.801,3333,7.363,36.51,310,43.4292236863493,53.8705242015571,2.70025211209359,85.6302795087328,80.6177941986019,5.01248531013096
"Afghanistan","AF","AFG",1969,11017409,2.39272037816067,51.28,27.334,2029,7.389,36.979,304.9,43.6819809448846,53.6316796444609,2.68633941065454,86.456962149139,81.4480957456495,5.00886640348956
"Afghanistan","AF","AFG",1970,11290128,2.4452057451213,51.207,26.838,4458,7.4,37.46,300,43.9262709832108,53.4023508591909,2.67137815759831,87.257666613481,82.2553064306771,5.00236018280387
"Afghanistan","AF","AFG",1971,11567667,2.42851631309344,51.303,26.383,-12801,7.432,37.932,344.3,44.1603244560755,53.1840321309374,2.6556434129871,88.026352404817,83.0330427466682,4.99330965814889
"Afghanistan","AF","AFG",1972,11853696,2.44258389899974,51.244,25.882,-4050,7.453,38.423,337.9,44.3879908848683,52.9729335052966,2.63907560983511,88.7756358202595,83.7937040580158,4.98193176224362
"Afghanistan","AF","AFG",1973,12157999,2.53475893911385,51.278,25.364,-3030,7.487,38.951,284.7,44.6099459043406,52.7674598111309,2.62259428452847,89.5107402157941,84.5406421699309,4.97009804586322
"Afghanistan","AF","AFG",1974,12469127,2.5268442145866,51.373,24.889,-20009,7.526,39.469,279.5,44.828404780399,52.5641391159196,2.60745610368136,90.2437777766589,85.2832549800596,4.9605227965993
"Afghanistan","AF","AFG",1975,12773954,2.41525048462279,51.321,24.403,-44418,7.542,39.994,274.2,45.0409559953011,52.3650116479204,2.59403235677849,90.9672209131238,86.0134619369295,4.95375897619434
"Afghanistan","AF","AFG",1976,13059851,2.21344608328696,51.329,23.934,-85430,7.561,40.518,268.6,45.2460024237642,52.1718241655284,2.58217341070737,91.6743266335102,86.7249631360274,4.94936349748289
"Afghanistan","AF","AFG",1977,13340756,2.1280995644747,51.331,23.404,-83115,7.591,41.082,262.9,45.4464744934067,51.9817860403943,2.57173946619894,92.3750674680591,87.4276885886367,4.94737887942241
"Afghanistan","AF","AFG",1978,13611441,2.00869785436837,51.288,24.171,-117186,7.599,40.086,256.9,45.6448512688701,51.7959781040082,2.5591706271217,93.0651831676898,88.1243157088636,4.94086745882622
"Afghanistan","AF","AFG",1979,13655567,0.323658822560684,52.029,25.538,-525413,7.612,38.844,251.1,45.8463094209124,51.6136678909049,2.54002268818278,93.747143749577,88.8259156069425,4.92122814263453
